,pvalue
random718,3.125060986116758e-05
random719,0.0001221258451374418
random720,1.419960995229941e-05
random721,0.0006798617024555874
random722,9.711585445501566e-05
random723,1.7322553479623564e-05
random724,2.3223219204355335e-05
random725,2.3230874227858782e-05
random726,0.0023195611556662142
random727,0.0015549509458159339
random728,7.363964304797662e-05
random729,1.738437310492127e-05
random730,0.00034246187889100236
random731,0.0008350874889789313
random732,8.089413879010159e-06
random733,0.0001874752468211254
random734,0.021983185125682956
random735,0.0007189141292239806
random736,4.692963071196976e-05
random737,0.00012583837329143576
random738,3.4060400050431257e-06
random739,0.00032075319571001136
random740,0.00010816227246216703
random741,5.1001172331372766e-05
random742,0.00024973469171595306
random743,0.00017482188352111347
random744,0.0005877109169229047
random745,4.260039168885827e-05
random746,3.319046647025105e-05
random747,8.62789443679775e-05
random748,8.353405651214065e-05
random749,5.4004435916656694e-05
random750,0.00019564011966520325
random751,0.012218058046054522
random752,2.6772241200946027e-05
random753,1.0889617995406875e-05
random754,0.001191368374771121
random755,0.0006472631852149181
random756,6.8267302259456e-05
random757,0.00011572945170195758
random758,8.141152226215019e-06
random759,0.0021037868956723664
random760,1.607786003048712e-05
random761,0.0005122655340109914
random762,0.0007780835384059422
random763,8.99489576184397e-05
random764,0.000565182074437165
random765,0.00022036290580559542
random766,0.00026540126208128464
random767,7.648605948515928e-06
random768,8.685771053233688e-05
random769,0.0035577933031836484
random770,0.0003622384914634818
random771,9.854073063552086e-06
random772,0.000902846542407608
random773,3.2462636079336015e-05
random774,0.004572983242647509
random775,0.0025293639970998213
random776,0.00033122824216758924
random777,5.7996741818285956e-05
random778,1.2581084106905404e-05
random779,2.8946554851269744e-05
random780,0.0033182637896396598
random781,0.0012390451049497226
random782,0.0007243827124219907
random783,9.150198800697036e-05
random784,7.200948766336123e-05
random785,0.0011580771358853624
random786,4.8994694406352913e-05
random787,0.000676258074609107
random788,3.259595776545694e-05
random789,0.0001164449880796497
random790,8.032482779865492e-06
random791,9.942514230703367e-05
random792,9.616416995503217e-06
random793,0.0009298777915214757
random794,0.0012331948054131311
random795,0.00020404837233368298
random796,4.0535360953010764e-05
random797,5.2805571308844024e-05
random798,0.0001717013287603765
random799,0.00018464811466401392
random800,7.415946311440982e-05
random801,2.3893874930416067e-05
random802,0.00012618299778522886
random803,2.9524402031333453e-05
random804,3.199408146750628e-05
random805,2.9483759201631272e-05
random806,7.062590549705029e-05
random807,0.00011618092812394875
random808,0.00018174794142045554
random809,0.00017428254141213132
random810,3.1168501110663846e-05
random811,0.0008615118073536696
random812,4.3639862844255036e-05
random813,0.0002634085029589936
random814,0.0006359455048237975
random815,4.356318307010242e-06
random816,0.00022676381443154455
random817,0.0017219555179573116
random818,0.0012601451713149736
random819,0.00041279561180761686
random820,3.7918907919802754e-05
random821,0.0019405527593221426
random822,5.813592494701334e-05
random823,1.7597015263454215e-05
random824,0.00023670032403716297
random825,0.00010414148544006799
random826,6.751027368438829e-05
random827,0.0003984611987882286
random828,9.648090125393206e-05
random829,2.8337485280101122e-06
random830,5.408657340046783e-05
random831,2.8306737705114494e-05
random832,0.00048673909477550903
random833,0.0002654739244567437
random834,8.77671799975508e-05
random835,8.674940621102465e-05
random836,1.9088559298558863e-06
random837,8.462739645312959e-05
random838,0.00010672894443146588
random839,1.2881711957978602e-05
random840,3.2701631850519006e-05
random841,3.3892805056357326e-05
random842,5.962750412410302e-05
random843,2.857646044307698e-05
random844,0.0001582569580553375
random845,0.00010781694973006452
random846,0.0014680914975675199
random847,6.165527020203389e-05
random848,1.2024220165923885e-05
random849,0.00024106543531539695
random850,8.367658070870049e-05
random851,5.12083248165501e-05
random852,4.965578434491271e-06
random853,0.0012441304020649661
random854,0.0006518634610043045
random855,1.9574945971381356e-05
random856,0.00023450805330274725
random857,5.635992932753978e-05
random858,1.1080379943737622e-05
random859,6.143350242624439e-05
random860,0.00011929593608832335
random861,1.8738629366838914e-05
random862,3.951404932390788e-05
random863,0.00041849950320666147
random864,0.000205159633533898
random865,0.00016940663847418873
random866,0.00021301352712095674
random867,0.0003188441605906749
random868,0.0003796976195052982
random869,0.0026521347454543445
random870,4.747147670835722e-05
random871,0.00104689830045221
random872,1.4164318379128842e-05
random873,0.007877773278530049
random874,8.558324904119703e-05
random875,2.1469034993377527e-05
random876,0.00020841905907882378
random877,0.0001349790166995332
random878,3.0123007309583216e-05
random879,0.0002917919586289429
random880,2.3995757481462876e-05
random881,0.0001221675311714802
random882,0.002992445567292755
random883,2.003839138025738e-05
random884,1.4349122605730685e-05
random885,3.2115116323145655e-05
random886,0.00019708673228776782
random887,0.00014953053675433508
random888,0.0001791121017089968
random889,0.00027079744997038086
random890,0.0003179976992740009
random891,0.008264456970722306
