gene,uni_marker_gene,cv_values
b3385,b0155,0.0415921756683941
b0158,b0158,0.0476105913281133
b0188,b0188,0.0454603342930874
b1804,b1804,0.0493048216262868
b4196,b4196,0.0417389389228088
b0200,b0200,0.0401841271010398
b2830,b2830,0.0498459966324086
b0832,b0832,0.0472473908587091
b4232,b2930,0.0496262663425753
b0029,b0029,0.0413727101923496
b0418,b0418,0.0426014665306704
b1250,b3234,0.0364795471441631
b0633,b3388,0.0456086833486586
b3935,b0962,0.0374569704831026
b2425,b0155,0.0415921756683941
b3569,b3010,0.0401325644647335
b2831,b2831,0.0484515260997364
b0481,b0481,0.0417635152725545
b2667,b3010,0.0401325644647335
b3360,b1812,0.0414892499477327
b3794,b3794,0.0472100856833249
b0443,b0494,0.0448916634745682
b3034,b3034,0.0481769265676937
b3054,b3054,0.0390815175391812
b0841,b3057,0.0435247815262172
b2763,b0386,0.0410592529662651
b2016,b2304,0.041427649794968
b2293,b2291,0.0415422453147199
b3510,b0055,0.0379539217108001
b0724,b0029,0.0413727101923496
b2467,b2467,0.0480156305406107
b0807,b0807,0.0485908125438411
b2581,b2581,0.0417397010056137
b0195,b0195,0.0465352409297039
b2933,b2715,0.0481959935113511
