gene,uni_marker_gene,cv_values
b3018,b3018,0.0434060729025132
b1723,b3916,0.0563555388803929
b2585,b2585,0.0556820172776153
b1961,b1961,0.0591071053453778
b1183,b1114,0.0404518550762541
b3202,b3202,0.0535936650521706
b3647,b2411,0.0559681055655784
b3283,b3019,0.0390292237180057
b3030,b3019,0.0390292237180057
b0025,b0025,0.0526761493704915
b3168,b3339,0.036843390589445
b2615,b3916,0.0563555388803929
b1872,b0947,0.0479455851282942
b0046,b3351,0.0522747364247561
b2028,b3787,0.0598501581811827
b2822,b0962,0.0374569704831026
b0148,b2184,0.0372385995216239
b2379,b2379,0.0534263686164533
b2834,b2834,0.0476328677038575
b3879,b2544,0.0499503437001575
b1204,b0191,0.0598009656431605
b2957,b1767,0.0597675407970833
b0131,b0131,0.0573605014844687
b3770,b1096,0.0575008266656303
b3867,b2436,0.0513173237228126
b0147,b0147,0.0587483318649306
b3032,b3032,0.0526611641216135
b0103,b0103,0.0495213438163093
b4042,b4042,0.0408863370251062
b1606,b0048,0.0593412926317899
b3058,b3058,0.046072669495773
b3424,b2568,0.0394775273281152
b0955,b0438,0.0537595510052317
b3898,b0932,0.0533127410197733
b1192,b0867,0.0489339297855838
b3396,b3396,0.0531864103886777
b4043,b3234,0.0364795471441631
b1288,b1288,0.0576428855026147
b0475,b0475,0.0506532111823675
b2388,b2388,0.0589999809096597
b1524,b1524,0.0511678383395453
b3229,b3592,0.04670510193979
b1779,b1779,0.0512525945540246
b3059,b4041,0.0503742651826908
b3608,b3608,0.0526302904257604
b3648,b3648,0.0599464538761571
b3783,b4052,0.0582449563631376
b0394,b0394,0.050777593230113
b0927,b0927,0.0592860257594649
b3029,b0662,0.0451169120967637
b0109,b0109,0.0492680932760629
b2949,b2268,0.0454596256296063
b3130,b2831,0.0484515260997364
b0183,b0214,0.0553022703112503
b2268,b2268,0.0454596256296063
b3719,b3825,0.0448138446627563
b0403,b0403,0.0514501807498195
b2965,b2965,0.047123538272135
b1281,b4196,0.0417389389228088
b3634,b3634,0.059270493242455
b1427,b3550,0.0415174231238703
b2989,b2195,0.0439110707567087
b1710,b1710,0.0598804849146265
b4160,b4160,0.0465530686934502
b0688,b0688,0.0578762584813744
b0494,b0494,0.0448916634745682
b1234,b3825,0.0448138446627563
b3821,b2436,0.0513173237228126
b4055,b4388,0.0479221803346974
b0143,b0143,0.0585258077500713
b3164,b3164,0.0570565612012784
b3187,b3187,0.0483527697636018
b4125,b3813,0.0474048112167254
b2743,b2743,0.0467318898046332
b3668,b3404,0.0477831745373624
b3850,b3850,0.0595712138394006
b0386,b0386,0.0410592529662651
b3752,b2100,0.0503271677224401
b4301,b3386,0.0502780939169159
b1764,b1764,0.0467948312237862
b1308,b2668,0.0480726137507652
b1098,b1098,0.0556547598147077
b2827,b2827,0.0489070100170775
b4190,b4190,0.0481417350341452
b1133,b2324,0.0553922828908375
b0423,b3056,0.0437830728057041
b3559,b3559,0.0528412083460783
b2400,b2400,0.0453624959268914
b2514,b2514,0.0568607003614281
b0642,b0642,0.0451353208312414
b2066,b3355,0.0542820611238826
b3803,b3803,0.0535466048133093
b3804,b3804,0.0463312621332809
b3997,b2400,0.0453624959268914
b2866,b3492,0.0441962462169617
b3564,b0394,0.050777593230113
b3204,b3204,0.0447846498717143
b2520,b2520,0.0524774981361011
b1951,b3529,0.0498224980151606
b1591,b0492,0.0524532966351864
b3866,b3866,0.0514096709808495
b1080,b2528,0.0559427111847973
b0067,b0818,0.0531203101451913
b2389,b0155,0.0415921756683941
b3849,b3849,0.0449157790255047
b4020,b4020,0.0550411983024796
b3990,b4146,0.0400299831012149
b1386,b3781,0.0414037651275052
b1711,b3339,0.036843390589445
b3469,b2184,0.0372385995216239
b2498,b3339,0.036843390589445
b0028,b0028,0.0578193790160966
b0182,b3019,0.0390292237180057
b3193,b3191,0.0451987779287547
b0611,b3929,0.0498990522541638
b3131,b2709,0.0421054902464237
b0304,b2542,0.056870886139062
b4362,b4362,0.0485178551417763
b1973,b3234,0.0364795471441631
b4108,b2495,0.0368856875274702
b3247,b3247,0.0500291483091782
b4336,b3339,0.036843390589445
b3916,b3916,0.0563555388803929
b0008,b4196,0.0417389389228088
b4241,b4241,0.0516969047457022
b4232,b2930,0.0496262663425753
b0902,b2544,0.0499503437001575
b3612,b3916,0.0563555388803929
b2837,b2837,0.0481540624576391
b2914,b2100,0.0503271677224401
b4094,b4094,0.0587455207463576
b1119,b1119,0.0578525754564633
b3718,b0677,0.0514064278366701
b3425,b2930,0.0496262663425753
b3919,b2930,0.0496262663425753
b2867,b0662,0.0451169120967637
b0125,b0125,0.0513144216056952
b2870,b4196,0.0417389389228088
b3355,b3355,0.0542820611238826
b3640,b2291,0.0415422453147199
b2065,b2065,0.0557414520796517
b1238,b4162,0.0542057808157327
b0892,b4362,0.0485178551417763
b3421,b2411,0.0559681055655784
b0467,b3935,0.0588599438303597
b3701,b4361,0.0595696806860477
b2894,b3019,0.0390292237180057
b1749,b3549,0.0390310609633677
b2831,b2831,0.0484515260997364
b2212,b3549,0.0390310609633677
b4313,b0962,0.0374569704831026
b3243,b3202,0.0535936650521706
b3569,b3010,0.0401325644647335
b1413,b0143,0.0585258077500713
b2791,b2268,0.0454596256296063
b4539,b2830,0.0498459966324086
b4375,b1211,0.053890782213774
b0167,b0657,0.0490622271792006
b1766,b2568,0.0394775273281152
b2734,b3404,0.0477831745373624
b1584,b3550,0.0415174231238703
b4019,b2743,0.0467318898046332
b0161,b0955,0.0541294757165853
b3708,b2812,0.0383493352846142
b1748,b2938,0.0575058394554264
b4054,b1096,0.0575008266656303
b3607,b3607,0.0583591826189816
b2468,b1524,0.0511678383395453
b0223,b0223,0.0410935025720609
b0048,b0870,0.0515895446006093
b3616,b4388,0.0479221803346974
b3114,b0870,0.0515895446006093
b1701,b2836,0.0430477076543461
b3963,b1094,0.0457948491968889
b1409,b0418,0.0426014665306704
b1232,b0048,0.0593412926317899
b3835,b0662,0.0451169120967637
b1106,b4394,0.0434456915144295
b2425,b0155,0.0415921756683941
b2406,b0055,0.0379539217108001
b3966,b0158,0.0476105913281133
b1429,b1429,0.0528526769686405
b1250,b3234,0.0364795471441631
b2246,b3667,0.0591356759840271
b0155,b0155,0.0415921756683941
b1985,b2076,0.0470678308504686
b3915,b3915,0.0396498327551522
b2529,b3915,0.0396498327551522
b1896,b3368,0.0582228616471408
b3831,b1114,0.0404518550762541
b3908,b2907,0.0508303492142024
b0174,b2184,0.0372385995216239
b0687,b3019,0.0390292237180057
b1857,b3234,0.0364795471441631
b1679,b2811,0.0448092274635683
b1066,b3790,0.0538086530548154
b2733,b4389,0.0408700475611585
b3003,b0493,0.0421418175575168
b0476,b0476,0.0485779878014748
b3439,b3439,0.0468743817835666
b0464,b0149,0.0434720658298682
b2465,b3386,0.0502780939169159
b3287,b1128,0.0457238937849552
b3807,b3891,0.0575119215822212
b3235,b3234,0.0364795471441631
b2908,b4260,0.055049816216988
b1807,b2472,0.0420484542835586
b1266,b2291,0.0415422453147199
b0121,b2965,0.047123538272135
b3209,b3209,0.0482916580350985
b2480,b0605,0.0580370965070825
b3721,b2901,0.0456400923145189
b2232,b2232,0.0473760615416884
b3929,b3929,0.0498990522541638
b0677,b0677,0.0514064278366701
b3788,b3788,0.0491792200793261
b2162,b3399,0.0527273673423379
b1636,b2418,0.0555285342183659
b3572,b2965,0.047123538272135
b0449,b0449,0.0482406930448806
b3329,b1209,0.0527912580601325
b4463,b1094,0.0457948491968889
b2564,b2564,0.0512153685237301
b0406,b0444,0.0407629374202666
b2812,b2812,0.0383493352846142
b1261,b4388,0.0479221803346974
b2252,b1279,0.054932479506051
b1090,b4042,0.0408863370251062
b0425,b0425,0.0536522464950644
b2907,b2907,0.0508303492142024
b0662,b0662,0.0451169120967637
b0918,b0918,0.0588808825038396
b2542,b0349,0.0536182594701902
b1096,b1096,0.0575008266656303
b1734,b2901,0.0456400923145189
b3619,b3619,0.0504197161625438
b3623,b3621,0.0523744233941729
b0092,b0381,0.0481127918170893
b2068,b3549,0.0390310609633677
b0870,b0870,0.0515895446006093
b3583,b4198,0.0534815396377735
b4169,b2435,0.0472390385230131
b3028,b3028,0.0514558698967522
b1430,b2232,0.0473760615416884
b0404,b0404,0.0594985690201052
b2836,b2836,0.0430477076543461
b3198,b3198,0.0453333544454145
b0159,b0159,0.046152334686234
b1190,b4053,0.0572671257979149
b3091,b3091,0.046153231126525
b2938,b2938,0.0575058394554264
b2495,b2495,0.0368856875274702
b3531,b3531,0.0548060293700757
b4039,b4039,0.0586054609330414
b2459,b1270,0.0544588010392509
b1992,b1992,0.0562892370656038
b3809,b3809,0.055059507458149
b2440,b2440,0.0477562093537782
b2011,b2011,0.0520148207977049
b2787,b2787,0.0463823505791236
b3553,b1033,0.0573215709213769
b3092,b3091,0.046153231126525
b2239,b3449,0.055656212965
b2418,b2418,0.0555285342183659
b2265,b2265,0.0521204632827467
b1054,b1054,0.0425441977859493
b0885,b0885,0.0453861367666677
b3621,b3621,0.0523744233941729
b2560,b0418,0.0426014665306704
b2383,b2829,0.0560283756887049
b4240,b3204,0.0447846498717143
b3499,b3499,0.0578315700157754
b1822,b1822,0.0500764804666039
b0948,b4371,0.0551684626150406
b4179,b4179,0.0572471045906221
b0635,b0149,0.0434720658298682
b2472,b2472,0.0420484542835586
b0417,b0417,0.0513347193143472
b2868,b2895,0.0416241094013324
b3379,b0476,0.0485779878014748
b2876,b1464,0.0496187324403029
b2839,b2472,0.0420484542835586
b1593,b1288,0.0576428855026147
b2253,b3339,0.036843390589445
b3380,b4394,0.0434456915144295
b1813,b1813,0.0398464631008616
b1207,b0048,0.0593412926317899
b1662,b0025,0.0526761493704915
b3173,b0200,0.0401841271010398
b3793,b3794,0.0472100856833249
b2828,b4386,0.0423634117274538
b0149,b0149,0.0434720658298682
b0996,b2611,0.047592068745662
b0959,b0959,0.0503104703422916
b2767,b4473,0.0433258222323219
b1712,b3019,0.0390292237180057
b4220,b4220,0.0487802262491908
b4348,b1961,0.0591071053453778
b0606,b0605,0.0580370965070825
b3426,b3608,0.0526302904257604
b3025,b3025,0.0559170608907131
b1861,b1860,0.0484505075015824
b0779,b1913,0.0504146193571989
b0110,b0867,0.0489339297855838
b1220,b4179,0.0572471045906221
b0947,b0947,0.0479455851282942
b0968,b3034,0.0481769265676937
b0035,b0039,0.0596961680251992
b1638,b2418,0.0555285342183659
b1895,b0890,0.0598502368240515
b4136,b2195,0.0439110707567087
b2216,b2786,0.057745523005142
b0365,b0605,0.0580370965070825
b0112,b3839,0.0563204655514137
b2258,b0845,0.0463719422857422
b0752,b3915,0.0396498327551522
b3414,b3414,0.051925819253049
b1399,b0840,0.0477896713742406
b2291,b2291,0.0415422453147199
b3935,b0962,0.0374569704831026
b2939,b3029,0.055049412098489
b0145,b2321,0.0560694184319442
b2184,b2184,0.0372385995216239
b2687,b0159,0.046152334686234
b3912,b3912,0.0499900477390512
b1209,b1209,0.0527912580601325
b2209,b2520,0.0524774981361011
b1534,b1294,0.0439629480812198
b0929,b0491,0.0465173903865079
b3040,b3915,0.0396498327551522
b4296,b2740,0.0597613969698352
b2014,b0402,0.0419863443117003
b0069,b1294,0.0439629480812198
b3199,b3201,0.0504068964861832
b0047,b2568,0.0394775273281152
b2076,b2076,0.0470678308504686
b2240,b4020,0.0550411983024796
b0010,b0010,0.0538185658468627
b0763,b0765,0.0581114321226397
b3271,b3271,0.0566823436272818
b3201,b3201,0.0504068964861832
b3035,b3485,0.0516615399890822
b0813,b0813,0.0591403638360329
b0151,b0151,0.0497924565010949
b3331,b0106,0.0572839094818058
b0089,b1069,0.0448248590198982
b2392,b3915,0.0396498327551522
b1469,b0155,0.0415921756683941
b0433,b0433,0.0529915679767197
b3192,b3191,0.0451987779287547
b2132,b2901,0.0456400923145189
b3974,b0103,0.0495213438163093
b1241,b3414,0.051925819253049
b2888,b0010,0.0538185658468627
b3781,b3781,0.0414037651275052
b4377,b3821,0.0586480618732268
b3428,b3581,0.0544255859564422
b0029,b0029,0.0413727101923496
b3481,b0659,0.04986754687931
b0893,b1764,0.0467948312237862
b3259,b3259,0.050861008705708
b3404,b3404,0.0477831745373624
b3057,b0200,0.0401841271010398
b0657,b0657,0.0490622271792006
b3152,b3152,0.0515236545202146
b1449,b3787,0.0598501581811827
b2324,b2324,0.0553922828908375
b2485,b2485,0.0587260506033098
b0605,b0605,0.0580370965070825
b3160,b0662,0.0451169120967637
b0804,b1128,0.0457238937849552
b2764,b0662,0.0451169120967637
b3017,b0094,0.0457023072219089
b1870,b2712,0.0570272679395532
b1678,b0885,0.0453861367666677
b3533,b3794,0.0472100856833249
b3208,b3208,0.0584752427390574
b4112,b4112,0.0531339274393774
b0766,b3374,0.0495696205347075
b3991,b3345,0.0523259652899544
b3153,b1759,0.0454463258553721
b0446,b0446,0.0437475756188621
b3847,b3847,0.0577784555377694
b1316,b2963,0.0552509467875506
b3614,b0657,0.0490622271792006
b2738,b4198,0.0534815396377735
b1812,b1812,0.0414892499477327
b0769,b3058,0.046072669495773
b4474,b2804,0.0532120015711709
b3136,b3197,0.0474594739293193
b2786,b2786,0.057745523005142
b4146,b4146,0.0400299831012149
b4129,b3038,0.055688839071907
b0581,b0444,0.0407629374202666
b4386,b4386,0.0423634117274538
b4295,b3202,0.0535936650521706
b2755,b2798,0.0571267135286664
b4394,b4394,0.0434456915144295
b3813,b3813,0.0474048112167254
b3822,b3822,0.0596268156474603
b4373,b3550,0.0415174231238703
b0349,b0349,0.0536182594701902
b1855,b1855,0.0513868963844902
b3397,b3034,0.0481769265676937
b2708,b3197,0.0474594739293193
b2700,b2700,0.0486879568308372
b2906,b2906,0.0472067622363325
b3791,b3791,0.0523787218302562
b1187,b1187,0.0445630530279996
b1270,b1270,0.0544588010392509
b3223,b0677,0.0514064278366701
b3902,b3386,0.0502780939169159
b3368,b3368,0.0582228616471408
b1802,b0349,0.0536182594701902
b3887,b3887,0.0534876726011636
b4264,b3553,0.0595200916453623
b2172,b2172,0.0552791171837973
b0347,b0349,0.0536182594701902
b0884,b0051,0.0444283774152654
b4197,b4196,0.0417389389228088
b0207,b0207,0.0573849804491435
b1110,b0867,0.0489339297855838
b2478,b2472,0.0420484542835586
b1709,b3463,0.047378734885674
b2698,b1105,0.0514583868274806
