term_id	marker_gene	cv_values
GO:0004719	b2743	0.0467318898046332
GO:0004721	b3404	0.0477831745373624
GO:0004722	b4016	0.109024895455395
GO:0004725	b1411	0.0686071123750857
GO:0004729	b3850	0.0595712138394006
GO:0004730	b2165	0.0984089455701779
GO:0004731	b4384	0.0680163684406082
GO:0004733	b1638	0.0687349031121069
GO:0004735	b0386	0.0410592529662651
GO:0004738	b0114	0.0984140873878642
GO:0004739	b0114	0.0984140873878642
GO:0004742	b0115	0.106143324203273
GO:0004743	b1854	0.0732089974786562
GO:0004746	b1662	0.0625419475544433
GO:0004747	b2100	0.0503271677224401
GO:0004748	b4237	0.0768680454823445
GO:0004749	b1207	0.104305172047505
GO:0004750	b3386	0.0502780939169159
GO:0004751	b4090	0.0653430480091225
GO:0004756	b1764	0.0467948312237862
GO:0004764	b3281	0.0962218156672272
GO:0004765	b0388	0.0732653995583566
GO:0004766	b0121	0.0786131952724523
GO:0004775	b0729	0.0881825813573988
GO:0004777	b1525	0.0644795397652564
GO:0004784	b3908	0.106230589144051
GO:0004787	b1134	0.102055787714941
GO:0004791	b0888	0.0821499443875007
GO:0004792	b2668	0.0480726137507652
GO:0004794	b3772	0.0683708627887498
GO:0004797	b1238	0.105894887473145
GO:0004798	b1098	0.0556547598147077
GO:0004799	b2827	0.0489070100170775
GO:0004801	b0008	0.0720904858691062
GO:0004802	b2935	0.089872654568497
GO:0004803	b0228	0.0757788793760626
GO:0004806	b4190	0.0481417350341452
GO:0004807	b3919	0.062619756097762
GO:0004808	b2324	0.0553922828908375
GO:0004810	b3056	0.0437830728057041
GO:0004812	b0526	0.0708983905211878
GO:0004813	b2697	0.0644846282002939
GO:0004814	b3559	0.0528412083460783
GO:0004815	b1866	0.0937372466626159
GO:0004816	b0930	0.0719198476127192
GO:0004817	b0526	0.0708983905211878
GO:0004818	b2400	0.0453624959268914
GO:0004819	b0680	0.0887095052903333
GO:0004820	b3559	0.0528412083460783
GO:0004821	b2514	0.0568607003614281
GO:0004822	b0026	0.104801690121915
GO:0004823	b0642	0.0451353208312414
GO:0004824	b4155	0.0656137648144742
GO:0004825	b2114	0.0773830982402681
GO:0004826	b1714	0.0800463244180022
GO:0004827	b0194	0.0671110423164146
GO:0004828	b0893	0.0764966818730103
GO:0004830	b3384	0.0809019602270835
GO:0004831	b1637	0.0715816895192285
GO:0004832	b4258	0.0683450803820737
GO:0004844	b3068	0.0602721852254708
