term_id,gene,marker_gene,cv_values
GO:0003735,b1480,b3986,0.0512884348584993
GO:0003743,b1718,b1718,0.0486917813049896
GO:0003746,b3980,b3339,0.036843390589445
GO:0003755,b0441,b0525,0.0505929001695206
GO:0003756,b0604,b2893,0.0498968109422503
GO:0003796,b2102,b2102,0.047615309085706
GO:0003824,b3132,b2304,0.041427649794968
GO:0003841,b3018,b3018,0.0434060729025132
GO:0003872,b1723,b3916,0.0563555388803929
GO:0003882,b2585,b2585,0.0556820172776153
GO:0003886,b1961,b1961,0.0591071053453778
GO:0003887,b1183,b0231,0.0558032084952144
GO:0003899,b3202,b3202,0.0535936650521706
GO:0003906,b3635,b0714,0.0431368142609513
GO:0003911,b3647,b2411,0.0559681055655784
GO:0003916,b3283,b3019,0.0390292237180057
GO:0003918,b3030,b3019,0.0390292237180057
GO:0003919,b0025,b0025,0.0526761493704915
GO:0003924,b3168,b3339,0.036843390589445
GO:0003951,b2615,b3916,0.0563555388803929
GO:0003954,b1872,b1872,0.0509694473449832
GO:0003955,b0046,b3351,0.0522747364247561
GO:0003979,b2028,b3787,0.0598501581811827
GO:0003995,b0042,b0039,0.0596961680251992
GO:0004003,b2822,b1860,0.0484505075015824
GO:0004004,b0148,b2184,0.0372385995216239
GO:0004021,b2379,b2379,0.0534263686164533
GO:0004033,b2834,b2834,0.0476328677038575
GO:0004034,b3879,b2544,0.0499503437001575
GO:0004045,b1204,b0191,0.0598009656431605
GO:0004067,b2957,b1767,0.0597675407970833
GO:0004068,b0131,b0131,0.0573605014844687
GO:0004084,b3770,b1096,0.0575008266656303
GO:0004109,b3867,b2436,0.0513173237228126
GO:0004112,b3056,b3056,0.0437830728057041
GO:0004113,b0147,b0147,0.0587483318649306
GO:0004115,b3032,b3032,0.0526611641216135
GO:0004140,b0103,b0103,0.0495213438163093
GO:0004143,b4042,b4042,0.0408863370251062
GO:0004146,b1606,b0048,0.0593412926317899
GO:0004150,b3058,b3058,0.046072669495773
GO:0004175,b3424,b2568,0.0394775273281152
GO:0004176,b0955,b0438,0.0537595510052317
GO:0004177,b3898,b0932,0.0533127410197733
GO:0004180,b1192,b1192,0.0540460361102648
GO:0004185,b3396,b3396,0.0531864103886777
GO:0004222,b3064,b2821,0.0495457289441308
GO:0004252,b4043,b3234,0.0364795471441631
GO:0004318,b1288,b1288,0.0576428855026147
GO:0004325,b0475,b0475,0.0506532111823675
GO:0004340,b2388,b2388,0.0589999809096597
GO:0004359,b1524,b1524,0.0511678383395453
GO:0004364,b3229,b3592,0.04670510193979
GO:0004365,b1779,b1779,0.0512525945540246
GO:0004366,b3059,b4041,0.0503742651826908
GO:0004367,b3608,b3608,0.0526302904257604
GO:0004385,b3648,b3648,0.0599464538761571
GO:0004386,b3783,b4052,0.0582449563631376
GO:0004396,b0394,b0394,0.050777593230113
GO:0004416,b0927,b0927,0.0592860257594649
GO:0004422,b0238,b0125,0.0513144216056952
GO:0004497,b3029,b0662,0.0451169120967637
GO:0004514,b0109,b0109,0.0492680932760629
GO:0004518,b2949,b2268,0.0454596256296063
GO:0004519,b3130,b2831,0.0484515260997364
GO:0004523,b0183,b0214,0.0553022703112503
GO:0004532,b2268,b2268,0.0454596256296063
GO:0004536,b4483,b4378,0.0484269724949863
GO:0004540,b3130,b1804,0.0493048216262868
GO:0004553,b3719,b3147,0.0477628634950571
GO:0004558,b0403,b0403,0.0514501807498195
GO:0004586,b2965,b2965,0.047123538272135
GO:0004590,b1281,b4196,0.0417389389228088
GO:0004595,b3634,b3634,0.059270493242455
GO:0004596,b1427,b3550,0.0415174231238703
GO:0004601,b2989,b2301,0.0550499508448098
GO:0004602,b1710,b1710,0.0598804849146265
GO:0004609,b4160,b4160,0.0465530686934502
GO:0004614,b0688,b0688,0.0578762584813744
GO:0004620,b0494,b0494,0.0448916634745682
GO:0004622,b1234,b3825,0.0448138446627563
GO:0004623,b3821,b3821,0.0586480618732268
GO:0004647,b4055,b4388,0.0479221803346974
GO:0004652,b0143,b0143,0.0585258077500713
GO:0004654,b3164,b3164,0.0570565612012784
GO:0004659,b3187,b3187,0.0483527697636018
GO:0004673,b4125,b4112,0.0531339274393774
GO:0004713,b0981,b0981,0.0528315783077885
GO:0004719,b2743,b2743,0.0467318898046332
GO:0004721,b3668,b3404,0.0477831745373624
GO:0004729,b3850,b3850,0.0595712138394006
GO:0004735,b0386,b0386,0.0410592529662651
GO:0004747,b3752,b2100,0.0503271677224401
GO:0004750,b4301,b3386,0.0502780939169159
GO:0004756,b1764,b1764,0.0467948312237862
GO:0004792,b1308,b2668,0.0480726137507652
GO:0004798,b1098,b1098,0.0556547598147077
GO:0004799,b2827,b2827,0.0489070100170775
GO:0004806,b4190,b4190,0.0481417350341452
GO:0004808,b1133,b2324,0.0553922828908375
GO:0004810,b0423,b3056,0.0437830728057041
GO:0004814,b3559,b3559,0.0528412083460783
GO:0004818,b2400,b2400,0.0453624959268914
GO:0004820,b3559,b3559,0.0528412083460783
GO:0004821,b2514,b2514,0.0568607003614281
