term_id,gene,marker_gene,cv_values
GO:0003755,b0441,b0525,0.0505929001695206
GO:0003756,b0604,b2893,0.0498968109422503
GO:0003796,b2102,b2102,0.047615309085706
GO:0003824,b3132,b2304,0.041427649794968
GO:0003826,b0628,b0628,0.0643991087501563
GO:0003840,b3447,b3447,0.0641614896544524
GO:0003841,b3018,b3018,0.0434060729025132
GO:0003844,b3432,b3432,0.0642854760455863
GO:0003850,b1727,b1727,0.0617384186047701
GO:0003856,b3389,b3389,0.0683276237685896
GO:0003872,b1723,b3916,0.0563555388803929
GO:0003882,b2585,b2585,0.0556820172776153
GO:0003886,b1961,b1961,0.0591071053453778
GO:0003887,b1183,b0231,0.0558032084952144
GO:0003896,b3066,b3066,0.060373578075754
GO:0003899,b3202,b3202,0.0535936650521706
GO:0003904,b0708,b0708,0.0694443797542686
GO:0003906,b3635,b0714,0.0431368142609513
GO:0003909,b3421,b3421,0.063960504149511
GO:0003911,b3647,b2411,0.0559681055655784
GO:0003916,b3283,b3019,0.0390292237180057
GO:0003917,b3283,b1763,0.0600935010443232
GO:0003918,b3030,b3019,0.0390292237180057
GO:0003919,b0025,b0025,0.0526761493704915
GO:0003924,b3168,b3339,0.036843390589445
GO:0003935,b1277,b1277,0.0612812802702964
GO:0003951,b2615,b3916,0.0563555388803929
GO:0003952,b1740,b1740,0.0672544261514399
GO:0003954,b1872,b1872,0.0509694473449832
GO:0003955,b0046,b3351,0.0522747364247561
GO:0003979,b2028,b3787,0.0598501581811827
GO:0003989,b0185,b0185,0.0612208742024911
GO:0003995,b0042,b0039,0.0596961680251992
GO:0003998,b0968,b0968,0.0631041809159316
GO:0004003,b2822,b1860,0.0484505075015824
GO:0004004,b0148,b2184,0.0372385995216239
GO:0004021,b2379,b2379,0.0534263686164533
GO:0004029,b1746,b1525,0.0644795397652564
GO:0004030,b1300,b1300,0.0696698833474315
GO:0004033,b2834,b2834,0.0476328677038575
GO:0004034,b3879,b2544,0.0499503437001575
GO:0004035,b0383,b0383,0.0693232201031893
GO:0004045,b1204,b0191,0.0598009656431605
GO:0004049,b1263,b3360,0.0626291790668163
GO:0004060,b1463,b1463,0.0639818029499658
